SYSTEM ID,NAME,SYSTEM TYPE,SYSTEM SUB-TYPE,FLOOD OF RECORD FLOW (CFS),FLOOD OF RECORD DATE,CLOSURE STRUCTURE MILES,CLOSURE STRUCTURE COUNT,LEVEE MILES,LEVEED AREA SQUARE MILES,FLOODWALL MILES,LOCATION,IS USACE,OVERTOPPING ACE,SWIF STATUS,WATERWAY,YEAR CONSTRUCTED,RIP STATUS,FEMA ACCREDITATION RATING,SPONSORS,STATES,COUNTIES,SEGMENT COUNT,SYSTEM CONTAINS NON PROJECT SEGMENT,DIVISION NAMES,DISTRICT NAMES,FEMA REGION NAMES,CONGRESSIONAL DISTRICTS,HUC4 NAMES,HAS EVACUATION PLAN,HAS WARNING SYSTEM
1205000187,Back Neck,Levee System,,,,,,1.0303114588437199,0.203266238044819,,"Fairton, Cumberland County, New Jersey",No,,,"Rock Creek
",,Not Enrolled,Non-Accredited Levee System,"Halka Nurseries Inc., Private 13598",New Jersey,Cumberland,2,No,North Atlantic Division,Philadelphia,2,02,Delaware-Mid Atlantic Coastal,,
1205000013,Bayway_Elizabeth River,Levee System,,,,,,,0.000237471887652433,0.052851382384572904,"Elizabeth, Union County, New Jersey",No,,,,,Not Enrolled,Non-Accredited Levee System,Undefined,New Jersey,Union,1,No,North Atlantic Division,New York,2,08,Lower Hudson-Long Island,,
1205000165,Beasley Neck Road,Levee System,,,,,,0.1614932163275847,0.000939188766582918,,"Quinton, Salem County, New Jersey",No,,,Alloway Creek,,Not Enrolled,Non-Accredited Levee System,UNKNOWN,New Jersey,Salem,1,No,North Atlantic Division,Philadelphia,2,02,Delaware-Mid Atlantic Coastal,,
1205000254,Beasley Neck Road 2,Levee System,,,,,,0.38753553922542044,0.018457340550261398,,"Quinton, Salem County, New Jersey",No,,,Alloway Creek,,Not Enrolled,Non-Accredited Levee System,Private 13478,New Jersey,Salem,1,No,North Atlantic Division,Philadelphia,2,02,Delaware-Mid Atlantic Coastal,,
1205000166,Beasley Neck Road 3,Levee System,,,,,,0.2444134812048842,0.00831609645658185,,"Quinton, Salem County, New Jersey",No,,,Alloway Creek,,Not Enrolled,Non-Accredited Levee System,Private 13479,New Jersey,Salem,1,No,North Atlantic Division,Philadelphia,2,02,Delaware-Mid Atlantic Coastal,,
430005400023,Beaver Dam,Levee System,,,,,,0.2812680519049896,0.08603636962807801,,"Pennsville, Salem County, New Jersey",No,,,Salem River,,Not Enrolled,Non-Accredited Levee System,Private 13604,New Jersey,Salem,1,No,North Atlantic Division,Philadelphia,2,02,Delaware-Mid Atlantic Coastal,,
430005400024,Beaver Dam 2,Levee System,,,,,,0.0921187526646721,0.0128732851677756,,"Pennsville, Salem County, New Jersey",No,,,Salem River,,Not Enrolled,Non-Accredited Levee System,Private 13604,New Jersey,Salem,1,No,North Atlantic Division,Philadelphia,2,02,Delaware-Mid Atlantic Coastal,,
1205000206,Berrytown,Levee System,,,,,,1.2775130006323598,0.25067014939572,,"Port Norris, Cumberland County, New Jersey",No,,,Delaware Bay,,Not Enrolled,Non-Accredited Levee System,UNKNOWN,New Jersey,Cumberland,1,No,North Atlantic Division,Philadelphia,2,02,Delaware-Mid Atlantic Coastal,,
1205000190,Blews Run,Levee System,,,,,,0.2671648453228186,0.03110932927524,,"Cedarville, Cumberland County, New Jersey",No,,,Blews Run,,Not Enrolled,Non-Accredited Levee System,UNKNOWN,New Jersey,Cumberland,1,No,North Atlantic Division,Philadelphia,2,02,Delaware-Mid Atlantic Coastal,,
4505000038,Borough of Bound Brook Levee System,Levee System,,,08/28/2011,0.0299703938516299,4,2.15088770108245,0.519464299152242,0.3444686502310669,"Bound Brook, Somerset County, New Jersey",Yes,,,,,Active,,New Jersey,New Jersey,"Middlesex, Somerset",1,No,North Atlantic Division,New York,2,"07, 12",Lower Hudson-Long Island,,
