SEGMENT ID,NAME,SYSTEM ID,AUTHORIZATION CATEGORY,CONSTRUCTION END DATE,DESIGN FLOW,FLOOD REDUCTION CHANNEL,FREEBOARD,NONFEDERAL IEI DATE,PRIMARY WATERWAY,SECONDARY WATERWAY,POTENTIAL HAZARD,LIS ALIAS,PAL STATUS,PRIOR IDS,LEVEE MILES,FLOODWALL MILES,BEGIN LONGITUDE,BEGIN LATITUDE,END LONGITUDE,END LATITUDE,LSAC RATING NAME,NON PROJECT,INTERESTED FEDERAL AGENCY
1204000299,Back Neck,1205000187,"Locally Constructed, Locally Operated and Maintained",,,,,,,,,,,,0.7010465728459271,,-75.2667279984375,39.365411025,-75.2612773046875,39.365411025,,No,
1204200161,Back Neck 2,1205000187,"Locally Constructed, Locally Operated and Maintained",,,,,,,,,,,,0.32926488599778897,,-75.2587368484375,39.36591430468749,-75.25501961875001,39.36591430468749,,No,
1204000017,Bayway_Elizabeth River,1205000013,"Locally Constructed, Locally Operated and Maintained",,,,,,,,,,,,,0.052851382384572904,-74.201249675,40.643007234375,-74.2006341703125,40.643007234375,,No,
1204000276,Beasley Neck Road,1205000165,"Locally Constructed, Locally Operated and Maintained",,,,,,,,,,,,0.1614932163275847,,-75.438480290625,39.526274740625006,-75.4385227265625,39.526274740625006,,No,Natural Resources Conservation Service
1204000277,Beasley Neck Road 2,1205000254,"Locally Constructed, Locally Operated and Maintained",,,,,,,,,,,,0.38753553922542044,,-75.4387608140625,39.5369293546875,-75.434549653125,39.5369293546875,,No,
1204000278,Beasley Neck Road 3,1205000166,"Locally Constructed, Locally Operated and Maintained",,,,,,,,,,,,0.2444134812048842,,-75.417748625,39.539240640625,-75.4187848265625,39.539240640625,,No,
430004200158,Beaver Dam,430005400023,"Locally Constructed, Locally Operated and Maintained",,,,,,,,,,,,0.2812680519049896,,-75.4867489265625,39.6500221046875,-75.48618204062501,39.6500221046875,,No,
430004200159,Beaver Dam 2,430005400024,"Locally Constructed, Locally Operated and Maintained",,,,,,,,,,,,0.0921187526646721,,-75.483586959375,39.64263321875,-75.48322398281249,39.64263321875,,No,
1204000318,Berrytown,1205000206,"Locally Constructed, Locally Operated and Maintained",,,,,,,,,,,,1.2775130006323598,,-75.0746198828125,39.243095209375,-75.0612481296875,39.243095209375,,No,Natural Resources Conservation Service
1204000302,Blews Run,1205000190,"Locally Constructed, Locally Operated and Maintained",,,,,,,,,,,,0.2671648453228186,,-75.24615645,39.344958378125,-75.246347459375,39.344958378125,,No,Natural Resources Conservation Service
4504000038,Borough of Bound Brook Levee System,4505000038,"USACE Federally constructed, turned over to public sponsor operations and maintenance",,,,,,,,,,,430004200168,2.15088770108245,0.3444686502310669,-73.108936459375,40.559274991,-74.537037294,40.559274991,,No,
1204000011,Bound Brook Junction_Cuckels Brook,1205000007,"Locally Constructed, Locally Operated and Maintained",,,,,,,,,,,,0.6691903511768216,,-74.5625522515625,40.5522504515625,-74.56220440781249,40.5522504515625,,No,
1204000308,Bowers Creek Road,1205000196,"Locally Constructed, Locally Operated and Maintained",,,,,,,,,,,,0.6703202220645719,,-75.229667234375,39.3328473078125,-75.21779654843749,39.3328473078125,,No,Natural Resources Conservation Service
1204000313,Bradford Point,1205000201,"Locally Constructed, Locally Operated and Maintained",,,,,,,,,,,,0.36244943021043363,,-75.1823337421875,39.262420796875,-75.17930049374999,39.262420796875,,No,Natural Resources Conservation Service
1204000314,Bradford Point 2,1205000202,"Locally Constructed, Locally Operated and Maintained",,,,,,,,,,,,0.1291108123295253,,-75.17783316718749,39.26496405,-75.177702240625,39.26496405,,No,Natural Resources Conservation Service
1204000294,Browns Run,1205000182,"Locally Constructed, Locally Operated and Maintained",,,,,,,,,,,,0.10752752154887431,,-75.30122830312501,39.39448185312501,-75.29989057187501,39.39448185312501,,No,Natural Resources Conservation Service
1204000287,Buckhorn Road,1205000175,"Locally Constructed, Locally Operated and Maintained",,,,,,,,,,,,0.2590837351706775,,-75.395532871875,39.46327943125,-75.390827190625,39.46327943125,,No,
1204000316,Burhcham,1205000204,"Locally Constructed, Locally Operated and Maintained",,,,,,,,,,,,1.1122770295820499,,-75.0119200234375,39.34107255625,-75.014865534375,39.34107255625,,No,
1204000284,County Hwy 623,1205000172,"Locally Constructed, Locally Operated and Maintained",,,,,,,,,,,,0.7886676560966077,,-75.449776871875,39.526634262500004,-75.44311935781249,39.526634262500004,,No,
430004200157,County Road 540,430005400022,"Locally Constructed, Locally Operated and Maintained",,,,,,,,,,,,0.779424118272593,,-75.4414463734375,39.608392435937496,-75.4430571453125,39.608392435937496,,No,
1204000239,DelHaven- Green Creek,1205000130,"Locally Constructed, Locally Operated and Maintained",,,,,,,,,,,,0.2547078540107066,,-74.9152042484375,39.049394174999996,-74.9135225859375,39.049394174999996,,No,Natural Resources Conservation Service
1204000319,Dividing Creek,1205000207,"Locally Constructed, Locally Operated and Maintained",,,,,,,,,,,,1.50580547508464,,-75.11242122187501,39.2522266046875,-75.11280565,39.2522266046875,,No,Natural Resources Conservation Service
1204000296,Dix State Wildlife Management,1205000184,"Locally Constructed, Locally Operated and Maintained",,,,,,,,,,,,0.8664768677682715,,-75.32217242656249,39.350187240625004,-75.313858228125,39.350187240625004,,No,Natural Resources Conservation Service
1204000298,Durham,1205000186,"Locally Constructed, Locally Operated and Maintained",,,,,,,,,,,,1.52464108102078,,-75.29729945,39.36027830625,-75.2907689015625,39.36027830625,,No,Natural Resources Conservation Service
